       latitude      longitude observation     resiual  prediction  correction
       37.04517      137.87385     0.01740    -0.00062     0.01802     0.00000
       36.95087      137.89387     0.02410     0.00847     0.01563     0.00000
       36.32237      137.90282     0.02450     0.02347     0.00103     0.00000
       34.75539      137.91128    -0.01490     0.00528    -0.02018     0.00000
       35.31714      137.92527     0.00170     0.01726    -0.01556     0.00000
       34.84386      137.93215    -0.00380     0.01608    -0.01988     0.00000
       34.67042      137.93744    -0.00730     0.01371    -0.02101     0.00000
       35.92358      137.94381    -0.01470    -0.00754    -0.00716     0.00000
       34.90205      137.94681     0.02220     0.04186    -0.01966     0.00000
       35.03152      137.98042     0.01430     0.03341    -0.01911     0.00000
       36.12111      137.98301    -0.03260    -0.02861    -0.00399     0.00000
       35.72629      137.98389     0.01300     0.02395    -0.01095     0.00000
       36.23903      137.98455     0.01360     0.01522    -0.00162     0.00000
       34.78595      138.01753    -0.02030     0.00110    -0.02140     0.00000
       35.55613      138.03832     0.00830     0.02251    -0.01421     0.00000
       34.66641      138.04652     0.00330     0.02577    -0.02247     0.00000
       34.71525      138.05354    -0.02220     0.00010    -0.02230     0.00000
       34.93980      138.07486     0.00000     0.02117    -0.02117     0.00000
       35.04488      138.08168    -0.00530     0.01515    -0.02045     0.00000
       35.87842      138.09571     0.01490     0.02495    -0.01005     0.00000
       36.70665      138.09673    -0.01220    -0.02029     0.00809     0.00000
       34.67992      138.09829     0.01640     0.03951    -0.02311     0.00000
       37.16079      138.10019     0.00060    -0.01959     0.02019     0.00000
       36.52360      138.12095    -0.01320    -0.01644     0.00324     0.00000
       34.64290      138.12929    -0.00340     0.02032    -0.02372     0.00000
       35.10391      138.13490    -0.02480    -0.00406    -0.02074     0.00000
       34.75776      138.13692     0.00000     0.02324    -0.02324     0.00000
       34.63454      138.15904     0.01870     0.04288    -0.02418     0.00000
       34.84941      138.17674    -0.05260    -0.02932    -0.02328     0.00000
       34.67775      138.18296    -0.00330     0.02102    -0.02432     0.00000
       35.32207      138.18578    -0.02720    -0.00782    -0.01938     0.00000
       36.86540      138.19867    -0.01580    -0.02720     0.01140     0.00000
       35.06697      138.20998     0.00040     0.02262    -0.02222     0.00000
       36.02616      138.21448     0.01630     0.02541    -0.00911     0.00000
       34.60315      138.21525     0.01690     0.04201    -0.02511     0.00000
       36.20847      138.21649    -0.00030     0.00506    -0.00536     0.00000
       34.73831      138.22560    -0.01050     0.01414    -0.02464     0.00000
       37.05668      138.24259     0.00460    -0.01189     0.01649     0.00000
       36.66515      138.24747     0.01160     0.00618     0.00542     0.00000
       34.95435      138.24990     0.00430     0.02801    -0.02371     0.00000
       35.20098      138.25351     0.04220     0.06394    -0.02174     0.00000
       37.81590      138.27307     0.03100    -0.00692     0.03792     0.00000
       35.85598      138.31640     0.00620     0.02020    -0.01400     0.00000
       36.38618      138.32252     0.02220     0.02503    -0.00283     0.00000
