       latitude      longitude observation     resiual  prediction  correction
       35.36077      138.72730     0.09790    -0.04984     0.14774     0.00000
       34.69025      138.76279     0.04650    -0.03846     0.08496     0.00000
       35.30554      138.77067     0.08550    -0.05585     0.14135     0.00000
       34.85503      138.77652     0.05470    -0.04251     0.09721     0.00000
       37.49866      138.77954     0.47490    -0.09560     0.57050     0.00000
       37.66752      138.78051     0.49190    -0.10682     0.59872     0.00000
       34.77607      138.78606     0.06310    -0.02784     0.09094     0.00000
       37.31131      138.78998     0.45910    -0.07818     0.53728     0.00000
       34.97057      138.79466     0.06310    -0.04377     0.10687     0.00000
       35.49659      138.81404     0.11010    -0.05575     0.16585     0.00000
       36.99346      138.83084     0.40310    -0.07296     0.47606     0.00000
       34.61000      138.83842     0.03890    -0.03969     0.07859     0.00000
       36.59138      138.84789     0.29980    -0.08180     0.38160     0.00000
       36.25903      138.86541     0.23620    -0.06957     0.30577     0.00000
       34.71947      138.87647     0.03800    -0.04768     0.08568     0.00000
       37.77699      138.88044     0.52610    -0.12026     0.64636     0.00000
       35.32160      138.88165     0.09910    -0.04432     0.14342     0.00000
       35.11002      138.90186     0.06060    -0.05887     0.11947     0.00000
       36.69703      138.90626     0.34780    -0.06881     0.41661     0.00000
       35.04724      138.90689     0.05060    -0.06252     0.11312     0.00000
       36.14275      138.91242     0.21300    -0.07070     0.28370     0.00000
       37.58974      138.92028     0.54040    -0.08882     0.62922     0.00000
       34.86559      138.92225     0.04180    -0.05471     0.09651     0.00000
       34.91611      138.92482     0.03610    -0.06470     0.10080     0.00000
       35.92993      138.92605     0.19580    -0.04452     0.24032     0.00000
       35.20439      138.92835     0.08140    -0.04810     0.12950     0.00000
       37.16604      138.93372     0.48400    -0.05750     0.54150     0.00000
       34.69890      138.93933     0.03920    -0.04414     0.08334     0.00000
       36.77806      138.94482     0.39250    -0.05177     0.44427     0.00000
       35.75387      138.94999     0.14490    -0.06345     0.20835     0.00000
       35.11417      138.97387     0.06140    -0.05794     0.11934     0.00000
       35.62335      138.97585     0.12220    -0.06457     0.18677     0.00000
       37.89647      138.98886     0.54930    -0.15126     0.70056     0.00000
       34.75135      138.98982     0.04070    -0.04580     0.08650     0.00000
       35.01483      138.99793     0.05180    -0.05726     0.10906     0.00000
       37.46772      138.99801     0.54800    -0.08214     0.63014     0.00000
       34.92182      139.01369     0.03600    -0.06421     0.10021     0.00000
       36.39535      139.01671     0.28050    -0.07303     0.35353     0.00000
